"GeoName","GEOID"
"ANDAMAN & NICOBAR","x35"
"ANDHRA PRADESH","x28"
"ARUNACHAL PRADESH","x12"
"ASSAM","x18"
"BIHAR","x10"
"CHANDIGARH","x04"
"CHHATTISGARH","x22"
"DADRA & NAGAR HAVELI & DAMAN & DIU","x38"
"DELHI","x07"
"GOA","x30"
"GUJARAT","x24"
"HARYANA","x06"
"HIMACHAL PRADESH","x02"
"JAMMU & KASHMIR","x01"
"JHARKHAND","x20"
"KARNATAKA","x29"
"KERALA","x32"
"LADAKH","x37"
"LAKSHADWEEP","x31"
"MADHYA PRADESH","x23"
"MAHARASHTRA","x27"
"MANIPUR","x14"
"MEGHALAYA","x17"
"MIZORAM","x15"
"NAGALAND","x13"
"ODISHA","x21"
"PUDUCHERRY","x34"
"PUNJAB","x03"
"RAJASTHAN","x08"
"SIKKIM","x11"
"TAMIL NADU","x33"
"TELANGANA","x36"
"TRIPURA","x16"
"UTTARAKHAND","x05"
"UTTAR PRADESH","x09"
"WEST BENGAL","x19"
